,1,2,3
0,47.505238,21.592112,-34.637627
1,52.301819,12.741541,-31.778011
2,56.795639,3.587755,-28.8797
3,60.61414,-6.649557,-26.02422
4,62.547894,-16.206429,-22.996141
5,63.202065,-26.224339,-19.827972
6,60.830746,-36.648186,-17.149799
7,56.769047,-46.262951,-14.807388
8,50.31958,25.015331,-25.961145
9,55.543686,15.874566,-22.589348
10,60.506062,6.537916,-19.103048
11,62.965557,-3.28811,-16.197618
12,63.063824,-13.690537,-13.29108
13,62.625877,-23.572178,-10.168188
14,60.368694,-34.030323,-7.93935
15,57.75161,-43.411674,-5.076558
16,49.960457,27.458536,-16.174131
17,54.957706,18.437368,-12.731936
18,59.446682,8.774921,-9.281481
19,60.141335,-0.971624,-6.782005
20,61.196529,-11.361559,-3.118146
21,61.356728,-20.966314,-1.093284
22,59.550159,-31.094519,1.906669
23,57.450993,-41.030048,4.114784
24,48.451561,29.748899,-6.994389
25,52.324345,20.410572,-3.255891
26,54.784672,11.150018,0.015624
27,56.685947,1.223673,2.179139
28,59.023163,-8.531621,6.123527
29,58.843937,-18.879152,8.538985
30,57.877518,-29.00214,11.088074
31,55.464722,-38.879597,13.818933
32,47.816818,32.511017,2.363303
33,51.306236,23.417046,6.11501
34,52.71423,13.03701,8.914643
35,55.34866,3.748504,12.066729
36,56.783169,-6.577757,15.836705
37,56.699116,-16.561014,18.172001
38,54.007961,-26.451227,20.229181
39,51.715118,-36.15514,22.551235
40,48.28487,35.067745,12.316489
41,50.543987,25.706434,15.494763
42,51.70356,15.472727,18.606813
43,54.080284,6.436253,21.639486
44,53.999954,-3.709895,24.584616
45,52.927464,-14.114893,27.412672
46,48.973175,-24.509085,29.027065
47,46.461529,-33.798031,30.702662
48,45.042217,37.294994,21.189415
49,46.595757,27.799864,24.371302
50,47.832245,17.818106,27.165846
51,49.724602,8.071112,30.956636
52,48.052937,-2.355177,33.006771
53,48.34465,-11.970354,35.793053
54,43.436234,-22.310997,36.975185
55,40.783577,-31.234938,38.93858
56,41.012566,39.011116,29.670259
57,41.612659,29.101549,32.885166
58,42.074593,19.278811,36.045284
59,42.826519,10.152966,38.493809
60,42.712132,-0.26118,41.192097
61,40.762325,-10.142202,43.405251
62,37.675648,-19.653229,44.703594
63,32.055023,-29.411215,45.422588
64,5.216562,46.524868,-3.616438
65,13.24975,44.838982,-2.096366
66,23.495323,44.719444,0.336732
67,33.702843,45.337135,2.46569
68,13.675437,24.429169,-24.72085
69,16.889112,33.505859,-24.301422
70,24.525455,37.73793,-25.559687
71,33.45528,39.802208,-24.300718
72,9.947592,13.616569,-22.626167
73,15.832872,12.1254,-31.52449
74,23.049479,10.788525,-37.946354
75,34.057171,10.686894,-38.930511
76,46.06435,10.905761,-37.305935
77,54.647884,9.94152,-29.122938
78,-0.75411,-36.732677,-24.032499
79,6.482571,-30.111422,-28.152361
80,15.221539,-24.937796,-33.442307
81,23.809954,-19.769758,-36.33374
82,30.015985,-15.010122,-38.467735
83,40.656109,-11.928821,-37.645573
84,7.045556,-49.266823,-42.449303
85,15.748711,-45.883877,-42.482677
86,25.587059,-41.532726,-41.659603
87,34.872746,-37.714359,-40.391609
88,44.138515,-31.585272,-39.658329
89,54.695454,-27.976965,-36.84494
90,3.108361,-86.412086,-36.744709
91,15.588981,-85.108757,-33.069294
92,23.991373,-81.308266,-31.678848
93,33.450275,-75.966438,-27.86614
94,40.080078,-70.652588,-24.271818
95,45.189121,-64.909332,-21.510096
96,50.059166,-56.696598,-17.883936
97,54.16798,-50.616619,-15.161949
98,-5.019431,-66.442909,3.046489
99,-3.683899,-71.940407,10.235342
100,3.926569,-74.777679,19.061861
101,11.677269,-73.849648,25.842085
102,19.272518,-68.896049,27.857624
103,26.60813,-64.021133,29.788082
104,33.727814,-57.175831,28.930246
105,41.965687,-48.426647,29.020458
106,48.339302,-40.822586,26.108704
107,52.225693,-31.308529,22.093132
108,8.738189,-51.331036,46.218533
109,16.82662,-46.224152,45.988747
110,25.519234,-40.980053,44.697372
111,33.501194,-36.976517,42.642586
112,-4.630601,-49.155094,23.24114
113,-3.890555,-43.768593,30.016617
114,-3.299272,-38.291443,39.034222
115,-1.38469,-32.258537,47.934116
116,2.493298,-25.31151,52.703304
117,4.269174,-19.126688,58.2365
118,11.819656,-10.911947,59.841732
119,18.708071,-4.675678,57.915482
120,25.675402,-0.299758,55.767883
121,34.541962,6.975744,48.13163
122,0.79813,42.913254,41.556137
123,8.986841,46.832649,45.348495
124,16.659557,43.433319,44.942619
125,25.975809,40.473003,42.915485
126,33.732819,34.064236,39.812561
127,4.67,1.0,-21.0
128,9.384286,2.0,-21.142857
129,14.098571,3.0,-21.285714
130,18.812857,4.0,-21.428571
131,23.527143,5.0,-21.571429
132,28.241429,6.0,-21.714286
133,32.955714,7.0,-21.857143
134,37.67,8.0,-22.0
135,15.67,-13.0,-27.0
136,20.241429,-12.0,-26.142857
137,24.812857,-11.0,-25.285714
138,29.384286,-10.0,-24.428571
139,33.955714,-9.0,-23.571429
140,38.527143,-8.0,-22.714286
141,43.098571,-7.0,-21.857143
142,47.67,-6.0,-21.0
